"nim","nama","prodi","kabupaten","provinsi","penghasilan_ayah","Prestasi yang pernah saudara/i raih ?","Apa yang membuat saudara/ i tertarik kuliah di Universitas Nurul Jadid ?","Siapa yang memotivasi saudara/ i hingga akhirnya memilih kuliah di Universitas Nurul Jadid ?","prestasi_terkini"
"2110070001","mahasiswa 1","KPI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di luar sekolah","Dekat dari rumah","Orang tua/ kerabat","1"
"2110170002","mahasiswa 2","KPI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2110270003","mahasiswa 3","KPI","KAB. SAMPANG","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2110370004","mahasiswa 4","KPI","KOTA ADM. JAKARTA UTARA","DKI Jakarta","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2110470005","mahasiswa 5","KPI","KAB. BONDOWOSO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2110570006","mahasiswa 6","KPI","KAB. KUBU RAYA","Kalimantan Barat","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2110670007","mahasiswa 7","KPI","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2110770008","mahasiswa 8","KPI","KAB. PAMEKASAN","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2110870009","mahasiswa 9","KPI","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2110970010","mahasiswa 10","KPI","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2111070011","mahasiswa 11","KPI","KAB. JEMBER","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2111170012","mahasiswa 12","KPI","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di luar sekolah","Dekat dari rumah","Kesadaran diri sendiri","1"
"2111270013","mahasiswa 13","KPI","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di luar sekolah","Biaya terjangkau","Kesadaran diri sendiri","1"
"2111370014","mahasiswa 14","KPI","KAB. LOMBOK TIMUR","Nusa Tenggara Barat","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Fasilitas bagus","Kesadaran diri sendiri","0"
"2111470015","mahasiswa 15","KPI","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2111670017","mahasiswa 17","KPI","KAB. SAMPANG","Jawa Timur","Kurang dari Rp. 500.000","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2111770018","mahasiswa 18","KPI","KAB. SITUBONDO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2111870019","mahasiswa 19","KPI","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2111970020","mahasiswa 20","KPI","KAB. SITUBONDO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Ada saudara/ teman yang kuliah di UNUJA","Orang tua/ kerabat","0"
"2112070021","mahasiswa 21","KPI","KAB. BONDOWOSO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2112170022","mahasiswa 22","KPI","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di luar sekolah","Lainnya","Guru di sekolah","1"
"2112270023","mahasiswa 23","IQT","KAB. PAMEKASAN","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2112370024","mahasiswa 24","IQT","KAB. SITUBONDO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Teman sekolah","1"
"2112470025","mahasiswa 25","IQT","KOTA PASURUAN","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2112570026","mahasiswa 26","IQT","KAB. JEMBER","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
